category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,0.6990685659822249,,,2,139
ALL_DATA,1,29058.020970769798,-0.3574261363438009,333.2266192240062,35819.9384183729,2,139
>200 GB/s,0,,0.6639644949433509,,,2,57
>200 GB/s,1,30142.047457115343,-0.3574263405382025,951.6263138916175,43153.186365196045,2,57
100-200 GB/s,0,,0.578600143636291,,,1,12
50-100 GB/s,0,,2.71372564295782,,,2,65
50-100 GB/s,1,456.21746546840683,0.6650391824187445,332.98286707018804,3297.901351450557,2,65
