category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,0.6990685659822249,,,2,139
ALL_DATA,1,29058.020970769798,-0.3574261363438009,333.2266192240062,35819.9384183729,2,139
>256 MB,0,,0.7328375563847414,,,2,28
>256 MB,1,24330.360095043397,-0.23023743285781445,7372.799923042476,33850.32695066033,2,28
128-256 MB,0,,0.5820998939669972,,,1,21
32-128 MB,0,,1.107467011071327,,,2,54
32-128 MB,1,896.0000050702823,0.4938649299767757,490.6803909615876,10148.470550128131,2,54
8-32 MB,0,,0.528234611695802,,,1,36
