category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,0.6990685659822249,,,2,139
ALL_DATA,1,29058.020970769798,-0.3574261363438009,333.2266192240062,35819.9384183729,2,139
>128 MB,0,,0.5475299433419616,,,2,21
>128 MB,1,30503.374490479648,-0.35726388308669255,16347.787392843276,42411.14491527155,2,21
32-128 MB,0,,0.584581894970439,,,1,33
8-32 MB,0,,0.538721248784163,,,1,54
1-8 MB,0,,0.8193090025839264,,,2,31
1-8 MB,1,1421.360698432057,-5.293432346477284,332.8499918491037,1531.6373163227092,2,31
