category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,0.6990685659822249,,,2,139
ALL_DATA,1,29058.020970769798,-0.3574261363438009,333.2266192240062,35819.9384183729,2,139
2-3 GHz,0,,0.6872554936165364,,,2,55
2-3 GHz,1,34382.88344473827,-0.6145659123073955,480.0278182613291,47009.07577738605,2,55
3-4 GHz,0,,0.6261661646800007,,,1,56
<2 GHz,0,,0.8414923873605725,,,1,11
4-5 GHz,0,,0.9512562443968676,,,2,17
4-5 GHz,1,2201.5999906048937,0.2523357844707952,1826.2265039767153,3570.537606683387,2,17
