category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,0.6990685659822249,,,2,139
ALL_DATA,1,29058.020970769798,-0.3574261363438009,333.2266192240062,35819.9384183729,2,139
2-4 MB/core,0,,1.0425470121304015,,,2,44
2-4 MB/core,1,1815.4892415443658,0.5315421421889175,332.96188598343036,31361.655760545887,2,44
4-8 MB/core,0,,0.6557219860574875,,,2,47
4-8 MB/core,1,24754.49941151688,-0.11486413425528638,1406.8122465603315,30771.462053235507,2,47
>8 MB/core,0,,0.6959110221409285,,,1,17
1-2 MB/core,0,,0.756480442961584,,,1,31
