category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,0.6990685659822249,,,2,139
ALL_DATA,1,29058.020970769798,-0.3574261363438009,333.2266192240062,35819.9384183729,2,139
12 channels,0,,0.7853415613392524,,,1,12
16 channels,0,,0.010486275952481082,,,2,16
16 channels,1,6363.316265714266,0.9000968782069763,2075.066220216341,13065.493390940535,2,16
8 channels,0,,0.4684925762856259,,,2,17
8 channels,1,5214.052771115823,1.7195467869430359,947.2163196828528,5888.003408821375,2,17
2 channels,0,,0.754798952298896,,,1,71
