Packet,Benchmark,Component,Percentile Rank,# Compatible Public Results,Intervals,ns/day (Average),Microarchitecture,Release Date,Atoms,Market,Natoms*ns/day,vendor_id,Mem Bandwidth. GB/s,Mem Channels,CPU MHz,CPU max MHz,L3 cache,Cache L3. KB,L2 cache,Cache L2. KB,Core(s) per socket,Thread(s) per core,Socket(s),Cores,Threads,wiki FP32,GFLOPS,Base TDP. W,Price.$
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen 7 8700G,24th,5,0,8.4,Zen 4,Q1'24,19605,Desktop,164682,AuthenticAMD,83.2,2,3800,5100,16 MiB,16384,8 MiB,8192,8,2,1,8,16,32,972.8,65,329
LAMMPS_23Jun2022,Model_20k_Atoms,Intel Xeon Silver 4216,23rd,4,0,8.3,Cascade Lake,Q2'19,19605,Server,162721.5,GenuineIntel,115.2,6,2100,3200,22 MiB,22528,16 MiB,16384,16,2,1,16,32,64,2150.4,100,1002
LAMMPS_23Jun2022,Model_20k_Atoms,Intel Core i9-10900K,23rd,3,0,8.3,Comet Lake,Q2'20,19605,Desktop,162721.5,GenuineIntel,46.928,2,3700,5300,20 MiB,20480,2.5 MiB,2560,10,2,1,10,20,32,1184,125,488
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen 7 5800X 8-Core,22nd,10,0.1,7.6,Zen 3,Q4'20,19605,Desktop,148998,AuthenticAMD,51.2,2,3400,4600,32 MiB,32768,4 MiB,4096,8,2,1,8,16,32,870.4,105,449
LAMMPS_23Jun2022,Model_20k_Atoms,Intel Xeon E E-2488,22nd,4,0,7.6,Raptor Lake,Q4'23,19605,Server,148998,GenuineIntel,76.8,2,3200,5600,24 MiB (1 instance),24576,16 MiB,16384,8,2,1,8,16,32,819.2,95,606
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen 7 5800X3D 8-Core,20th,15,0,7.5,Zen 3,Q2'22,19605,Desktop,147037.5,AuthenticAMD,51.2,2,3200,4400,96 MiB,98304,4 MiB,4096,8,2,1,8,16,32,819.2,105,449
LAMMPS_23Jun2022,Model_20k_Atoms,AMD EPYC 72F3 8-Core,19th,3,0,7.1,Zen 3,Q1'21,19605,Server,139195.5,AuthenticAMD,204.8,8,3700,4100,256 MiB,262144,4 MiB,4096,8,2,1,8,16,32,947.2,180,2468
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen 7 5700G,19th,6,0,7.1,Zen 3,Q2'21,19605,Desktop,139195.5,AuthenticAMD,51.2,2,2900,4200,16 MiB,16384,4 MiB,4096,8,2,1,8,16,32,742.4,65,359
LAMMPS_23Jun2022,Model_20k_Atoms,AMD EPYC 4244P 6-Core,18th,9,0,6.9,Zen 4,Q2'24,19605,Server,135274.5,AuthenticAMD,83.2,2,3800,5100,32 MiB,32768,6 MiB,6144,6,2,1,6,12,32,729.6,65,229
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen 9 5900HX,18th,9,0.1,6.9,Zen 3,Q1'21,19605,Mobile,135274.5,AuthenticAMD,68.256,2,3300,4400,16 MiB,16384,4 MiB,4096,8,2,1,8,16,32,844.8,45,0.01
