category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,-0.30093143388928706,,,2,139
ALL_DATA,1,29058.020797725658,-1.3574261231092573,332.9284714569724,36297.82201058732,2,139
>200 GB/s,0,,-0.336035484493578,,,2,57
>200 GB/s,1,30142.037628694667,-1.3574256524592156,986.065162976801,41515.55577808603,2,57
100-200 GB/s,0,,-0.4213998563637113,,,1,12
50-100 GB/s,0,,1.7137256457436467,,,2,65
50-100 GB/s,1,456.21746529113386,-0.33496081752013396,332.86380100166815,3306.555896568558,2,65
