category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,-0.30093143388928706,,,2,139
ALL_DATA,1,29058.020797725658,-1.3574261231092573,332.9284714569724,36297.82201058732,2,139
65+ threads,0,,-0.42950220420278035,,,2,47
65+ threads,1,32767.99959494573,-1.35646922724725,5882.046194573732,47924.39239414023,2,47
17-32 threads,0,,-0.34815996611562805,,,1,36
33-64 threads,0,,-0.7669516779922502,,,1,14
9-16 threads,0,,-0.4405764454954717,,,1,36
