category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,-0.30093143388928706,,,2,139
ALL_DATA,1,29058.020797725658,-1.3574261231092573,332.9284714569724,36297.82201058732,2,139
>128 MB,0,,-0.45247005538110274,,,2,21
>128 MB,1,30503.374393006765,-1.3572638788763227,17910.36480423284,45822.71530913594,2,21
32-128 MB,0,,-0.415418105029561,,,1,33
8-32 MB,0,,-0.4612787512158365,,,1,54
1-8 MB,0,,-0.18069100659381318,,,2,31
1-8 MB,1,1421.3607089123484,-6.293432675504748,332.8168871849914,1465.294524504182,2,31
