category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,-0.30093143388928706,,,2,139
ALL_DATA,1,29058.020797725658,-1.3574261231092573,332.9284714569724,36297.82201058732,2,139
12 channels,0,,-0.21465843866074977,,,1,12
16 channels,0,,-0.9895137246123273,,,2,16
16 channels,1,6363.316255547345,-0.09990312302476913,2061.43061249669,12218.121430019695,2,16
8 channels,0,,-0.5315074237143743,,,2,17
8 channels,1,5214.052771115823,0.7195467869430423,947.2217323952627,5887.999989415225,2,17
2 channels,0,,-0.24520104770110476,,,1,71
