category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,-0.30093143388928706,,,2,139
ALL_DATA,1,29058.020797725658,-1.3574261231092573,332.9284714569724,36297.82201058732,2,139
>256 MB,0,,-0.267162420235437,,,2,28
>256 MB,1,24330.356402640686,-1.2302372205440406,7372.799626072899,36562.26822990807,2,28
128-256 MB,0,,-0.4179001060330019,,,1,21
32-128 MB,0,,0.10746701620609857,,,2,54
32-128 MB,1,896.0000015749355,-0.5061350696411598,487.3152072324557,10334.199531796923,2,54
8-32 MB,0,,-0.4717653883041971,,,1,36
