category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,-0.30093143388928706,,,2,139
ALL_DATA,1,29058.020797725658,-1.3574261231092573,332.9284714569724,36297.82201058732,2,139
2-4 MB/core,0,,0.04254701914994394,,,2,44
2-4 MB/core,1,1815.4891897322555,-0.46845785443513865,333.0276129716319,32063.142073364823,2,44
4-8 MB/core,0,,-0.3442780133191514,,,2,47
4-8 MB/core,1,24754.498936902026,-1.1148641051698427,1204.3067040990004,30918.02633649871,2,47
>8 MB/core,0,,-0.30408897785907196,,,1,17
1-2 MB/core,0,,-0.24351955703841646,,,1,31
