category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,-0.30093143388928706,,,2,139
ALL_DATA,1,29058.020797725658,-1.3574261231092573,332.9284714569724,36297.82201058732,2,139
>5K,0,,-0.21654985186960796,,,2,44
>5K,1,25563.677913055748,-1.2302372874502812,6349.9156212825965,36914.66824076588,2,44
2-5K,0,,-0.6820852093036304,,,1,28
1-2K,0,,-0.9988609159677843,,,1,30
500-1000,0,,0.09623589202234971,,,1,28
